Tip Matrice,Nr threads,Timp executie
N=M=10,0,0.02954
N=M=10,2,1.37447
N=M=1000,0,29.61238
N=M=1000,4,102.16004
N=M=1000,8,161.51966
N=M=1000,16,185.22302
N=M=10000,0,1068.37051
N=M=10000,2,685.32199
N=M=10000,4,429.57701
N=M=10000,8,424.18206
N=M=10000,16,428.91027
